elapsed_s,temp_c,power_w,sm_pct,mem_pct,clk_sm_mhz,clk_mem_mhz,mem_gb,pcirx_gbs
503,65,233.14,100,24,1770,9501,954,2,8
505,61,220.51,14,1,1770,9501,17,2,8
508,63,236.27,100,100,1770,9501,700,2,8
510,63,236.43,100,100,1770,9501,700,2,8
512,63,236.37,100,100,1770,9501,700,2,8
514,63,236.48,100,100,1770,9501,700,2,8
516,63,236.68,100,100,1770,9501,700,2,8
518,64,218.24,100,32,1770,9501,570,2,8
520,64,218.64,100,32,1770,9501,570,2,8
522,64,218.79,100,32,1770,9501,570,2,8
524,64,218.57,100,32,1770,9501,570,2,8
526,64,218.55,100,32,1770,9501,570,2,8
528,61,153.61,100,100,1770,9501,2236,2,8
530,61,200.11,100,100,1770,9501,2236,2,8
532,61,200.40,100,100,1770,9501,2236,2,8
534,61,200.47,100,100,1770,9501,2236,2,8
537,61,200.54,100,100,1770,9501,2236,2,8
539,60,200.31,100,100,1770,9501,2236,2,8
541,64,229.84,100,22,1770,9501,954,2,8
543,65,233.56,100,20,1770,9501,954,2,8
545,65,233.80,100,28,1770,9501,954,2,8
547,65,234.01,100,23,1770,9501,954,2,8
549,65,231.97,100,29,1770,9501,954,2,8
551,63,186.44,100,100,1770,9501,700,2,8
553,63,236.24,100,100,1770,9501,700,2,8
555,63,236.55,100,100,1770,9501,700,2,8
557,63,236.68,100,100,1770,9501,700,2,8
559,63,236.57,100,100,1770,9501,700,2,8
561,60,223.98,13,1,1770,9501,570,2,8
563,64,218.46,100,32,1770,9501,570,2,8
565,64,218.70,100,32,1770,9501,570,2,8
568,64,218.44,100,32,1770,9501,570,2,8
570,64,218.63,100,31,1770,9501,570,2,8
572,64,218.52,100,32,1770,9501,2234,2,8
574,61,200.40,100,100,1770,9501,2236,2,8
576,61,200.44,100,100,1770,9501,2236,2,8
578,61,200.29,100,100,1770,9501,2236,2,8
580,61,200.15,100,100,1770,9501,2236,2,8
582,61,200.00,100,100,1770,9501,2236,2,8
584,58,185.69,0,0,1770,9501,954,2,8
586,64,233.24,100,27,1770,9501,954,2,8
588,65,232.68,100,23,1770,9501,954,2,8
590,65,233.97,100,31,1770,9501,954,2,8
592,65,233.99,100,32,1770,9501,954,2,8
594,65,234.20,100,25,1770,9501,954,2,8
597,63,219.37,100,100,1770,9501,700,2,8
599,63,236.66,100,100,1770,9501,700,2,8
601,63,236.70,100,100,1770,9501,700,2,8
603,63,236.85,100,100,1770,9501,700,2,8
605,63,236.69,100,100,1770,9501,700,2,8
607,63,188.08,100,32,1770,9501,570,2,8
609,64,218.75,100,32,1770,9501,570,2,8
611,64,218.73,100,32,1770,9501,570,2,8
613,64,218.98,100,32,1770,9501,570,2,8
615,64,218.92,100,32,1770,9501,570,2,8
617,58,154.97,0,0,1770,9501,2236,2,8
619,61,200.53,100,100,1770,9501,2236,2,8
621,61,200.50,100,100,1770,9501,2236,2,8
623,61,200.42,100,100,1770,9501,2236,2,8
626,61,200.56,100,100,1770,9501,2236,2,8
628,61,200.50,100,100,1770,9501,2236,2,8
630,62,168.35,100,27,1770,9501,954,2,8
632,64,234.26,100,34,1770,9501,954,2,8
634,65,233.37,100,26,1770,9501,954,2,8
636,65,233.23,100,26,1770,9501,954,2,8
638,65,233.22,100,22,1770,9501,954,2,8
640,66,226.70,50,15,1770,9501,0,2,8
642,63,236.66,100,100,1770,9501,700,2,8
644,63,236.45,100,100,1770,9501,700,2,8
646,63,236.59,100,100,1770,9501,700,2,8
648,63,236.75,100,100,1770,9501,700,2,8
650,63,236.64,100,100,1770,9501,700,2,8
652,64,215.69,100,32,1770,9501,570,2,8
654,64,218.94,100,32,1770,9501,570,2,8
657,64,218.83,100,32,1770,9501,570,2,8
659,64,218.78,100,32,1770,9501,570,2,8
661,64,218.62,100,32,1770,9501,570,2,8
663,61,144.40,100,100,1770,9501,2236,2,8
665,61,200.52,100,100,1770,9501,2236,2,8
667,61,200.52,100,100,1770,9501,2236,2,8
669,61,200.45,100,100,1770,9501,2236,2,8
671,61,200.58,100,100,1770,9501,2236,2,8
673,61,200.48,100,100,1770,9501,2236,2,8
675,64,220.02,100,23,1770,9501,954,2,8
677,64,234.38,100,19,1770,9501,954,2,8
679,65,233.44,100,23,1770,9501,954,2,8
681,65,233.07,100,23,1770,9501,954,2,8
683,65,233.48,100,21,1770,9501,954,2,8
686,63,185.51,100,100,1770,9501,700,2,8
688,63,236.54,100,100,1770,9501,700,2,8
690,63,236.63,100,100,1770,9501,700,2,8
692,63,236.68,100,100,1770,9501,700,2,8
694,63,236.87,100,100,1770,9501,700,2,8
696,63,236.84,100,100,1770,9501,570,2,8
698,64,218.91,100,32,1770,9501,570,2,8
700,64,219.25,100,32,1770,9501,570,2,8
702,64,219.23,100,32,1770,9501,570,2,8
704,64,218.78,100,32,1770,9501,570,2,8
706,64,219.09,100,32,1770,9501,1,2,8
708,61,200.76,100,100,1770,9501,2236,2,8
710,61,200.72,100,100,1770,9501,2236,2,8
712,61,200.69,100,100,1770,9501,2236,2,8
715,61,200.61,100,100,1770,9501,2236,2,8
717,61,200.52,100,100,1770,9501,2236,2,8
719,59,196.17,99,59,1770,9501,18,2,8
721,64,231.88,100,21,1770,9501,954,2,8
723,65,233.17,100,22,1770,9501,954,2,8
725,65,233.60,100,21,1770,9501,954,2,8
727,65,232.76,100,23,1770,9501,954,2,8
729,65,233.49,100,23,1770,9501,954,2,8
731,63,205.91,100,100,1770,9501,700,2,8
733,63,236.64,100,100,1770,9501,700,2,8
735,63,236.87,100,100,1770,9501,700,2,8
737,63,236.83,100,100,1770,9501,700,2,8
739,63,236.65,100,100,1770,9501,700,2,8
741,63,185.77,100,32,1770,9501,570,2,8
744,64,218.81,100,32,1770,9501,570,2,8
